modelo,repeticion,accuracy,tiempo_seg
Random Forest,0,0.881,213.4870090484619
Random Forest,1,0.8813333333333333,230.26320362091064
Random Forest,2,0.8831666666666667,235.23536849021912
Random Forest,3,0.8825833333333334,215.5827419757843
Random Forest,4,0.8805833333333334,217.08854866027832
Random Forest,5,0.8855,213.21102857589722
Random Forest,6,0.8853333333333333,226.72030305862427
Random Forest,7,0.8819166666666667,232.32199430465698
Random Forest,8,0.88275,213.0804271697998
Random Forest,9,0.8851666666666667,239.29415130615234
SVM,0,0.9005833333333333,492.1848077774048
SVM,1,0.90025,493.7910084724426
SVM,2,0.9020833333333333,497.0844738483429
SVM,3,0.8996666666666666,496.6700510978699
SVM,4,0.90325,495.31149673461914
SVM,5,0.9014166666666666,495.51718521118164
SVM,6,0.9041666666666667,494.5426695346832
SVM,7,0.90025,495.4308874607086
SVM,8,0.9034166666666666,343.4841368198395
SVM,9,0.9028333333333334,339.3127567768097
KNN,0,0.85975,1081.655442237854
KNN,1,0.8565,1081.4279370307922
KNN,2,0.85925,1073.3836495876312
KNN,3,0.8613333333333333,1082.7213909626007
KNN,4,0.8615833333333334,1081.7124865055084
KNN,5,0.8638333333333333,1079.0215122699738
KNN,6,0.8643333333333333,1083.07115483284
KNN,7,0.8595833333333334,1080.3061525821686
KNN,8,0.8615833333333334,248.03989481925964
KNN,9,0.8625833333333334,243.5980522632599
